EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,BusinessTravel,OverTime,MonthlyIncome,PercentSalaryHike,StockOptionLevel,DistanceFromHome,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,JobInvolvement,PerformanceRating,Attrition,AttritionBinary,AgeBand,SalaryBand,TenureBand,JobSatisfactionLabel,WLBLabel,RiskScore,RiskCategory
14,46,Male,Single,5,Life Sciences,Sales,Sales Executive,3,Travel_Rarely,No,4050,11,0,2,5,17,0,0,0,0,5,4,2,3,3,3,3,No,0,46-60,Mid (3-6K),0-2 yrs,4-Very High,3-Better,2,Medium Risk
15,38,Female,Married,3,Marketing,Sales,Sales Executive,2,Travel_Rarely,Yes,1002,13,0,14,5,7,5,2,1,5,4,4,3,4,4,3,3,No,0,36-45,Low (<3K),3-5 yrs,4-Very High,4-Best,2,Medium Risk
16,52,Male,Married,3,Life Sciences,Sales,Manager,2,Travel_Rarely,No,11057,19,0,8,4,25,15,0,0,4,6,3,3,3,1,2,3,No,0,46-60,Very High (>10K),10+ yrs,3-High,3-Better,1,Low Risk
17,35,Female,Single,2,Medical,Research & Development,Manufacturing Director,3,Travel_Rarely,Yes,8493,19,0,3,3,12,2,2,2,2,0,3,3,3,2,2,3,Yes,1,26-35,High (6-10K),0-2 yrs,3-High,3-Better,3,Medium Risk
18,33,Female,Divorced,3,Life Sciences,Research & Development,Manager,3,Travel_Rarely,Yes,1737,11,0,2,7,2,2,2,0,0,3,4,3,3,3,3,3,Yes,1,26-35,Low (<3K),0-2 yrs,4-Very High,3-Better,3,Medium Risk
19,31,Female,Single,3,Technical Degree,Research & Development,Manufacturing Director,3,Travel_Rarely,No,1423,14,3,18,3,0,0,0,0,0,5,3,1,3,1,2,3,No,0,26-35,Low (<3K),0-2 yrs,3-High,3-Better,2,Medium Risk
20,38,Male,Married,3,Other,Sales,Sales Executive,4,Travel_Rarely,No,1526,22,0,16,2,6,3,3,3,3,5,2,2,3,3,3,3,No,0,36-45,Low (<3K),3-5 yrs,2-Medium,3-Better,3,Medium Risk
21,41,Male,Divorced,3,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,Yes,7238,18,1,2,5,16,0,0,0,0,5,4,2,3,2,4,3,No,0,36-45,High (6-10K),0-2 yrs,4-Very High,3-Better,2,Medium Risk
22,41,Female,Married,3,Life Sciences,Sales,Sales Executive,1,Travel_Rarely,No,7684,12,2,1,2,17,17,6,4,1,0,3,4,2,4,4,4,No,0,36-45,High (6-10K),10+ yrs,3-High,2-Good,1,Low Risk
23,40,Female,Single,1,Life Sciences,Sales,Manager,3,Non-Travel,No,2824,14,1,14,1,7,7,7,2,2,3,1,2,1,1,4,3,No,0,36-45,Low (<3K),6-10 yrs,1-Low,1-Bad,2,Medium Risk
24,43,Female,Single,3,Medical,Research & Development,Research Scientist,2,Travel_Rarely,No,6631,17,0,8,1,32,32,4,4,5,1,3,4,3,4,3,3,No,0,36-45,High (6-10K),10+ yrs,3-High,3-Better,1,Low Risk
25,34,Male,Divorced,3,Medical,Research & Development,Healthcare Representative,2,Travel_Frequently,No,5406,17,1,1,4,15,15,2,2,0,5,2,2,3,3,1,3,No,0,26-35,Mid (3-6K),10+ yrs,2-Medium,3-Better,1,Low Risk
26,29,Male,Single,2,Medical,Research & Development,Laboratory Technician,3,Travel_Rarely,Yes,3942,15,0,7,1,8,4,1,1,4,1,4,1,2,2,2,3,Yes,1,26-35,Mid (3-6K),3-5 yrs,4-Very High,2-Good,3,Medium Risk
27,28,Female,Married,2,Life Sciences,Sales,Manager,2,Travel_Frequently,No,8796,17,0,5,2,20,5,1,0,5,0,1,2,3,2,4,3,No,0,26-35,High (6-10K),3-5 yrs,1-Low,3-Better,2,Medium Risk
28,45,Female,Divorced,4,Medical,Research & Development,Manager,1,Travel_Rarely,No,2385,16,1,13,1,4,1,1,1,1,5,4,2,1,4,4,3,No,0,36-45,Low (<3K),0-2 yrs,4-Very High,1-Bad,2,Medium Risk
29,41,Male,Divorced,4,Life Sciences,Research & Development,Manufacturing Director,3,Non-Travel,No,9784,12,2,2,4,15,4,1,0,0,3,3,4,2,3,3,3,No,0,36-45,High (6-10K),3-5 yrs,3-High,2-Good,1,Low Risk
30,20,Female,Married,1,Medical,Sales,Sales Executive,3,Travel_Rarely,No,3174,19,1,5,0,16,16,4,0,4,3,2,3,3,2,3,3,No,0,18-25,Mid (3-6K),10+ yrs,2-Medium,3-Better,1,Low Risk
31,46,Female,Divorced,3,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,No,14312,15,0,1,3,15,0,0,0,0,5,1,4,3,1,4,3,No,0,46-60,Very High (>10K),0-2 yrs,1-Low,3-Better,3,Medium Risk
32,53,Male,Divorced,3,Medical,Sales,Sales Executive,2,Travel_Rarely,No,2688,12,0,28,1,13,13,0,0,2,6,3,4,3,1,3,3,No,0,46-60,Low (<3K),10+ yrs,3-High,3-Better,2,Medium Risk
33,30,Female,Married,5,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,No,3980,16,0,13,3,17,2,2,2,0,2,4,3,3,3,4,4,No,0,26-35,Mid (3-6K),0-2 yrs,4-Very High,3-Better,2,Medium Risk
34,40,Male,Single,5,Life Sciences,Human Resources,Manager,1,Travel_Rarely,No,5090,20,1,12,1,25,16,2,0,3,2,2,3,4,3,2,4,No,0,36-45,Mid (3-6K),10+ yrs,2-Medium,4-Best,1,Low Risk
35,32,Female,Single,3,Life Sciences,Human Resources,Human Resources,1,Travel_Rarely,Yes,5071,15,0,10,2,19,19,3,0,1,5,2,3,3,4,3,3,Yes,1,26-35,Mid (3-6K),10+ yrs,2-Medium,3-Better,3,Medium Risk
36,42,Female,Single,2,Medical,Research & Development,Manufacturing Director,1,Travel_Rarely,No,6597,12,2,4,3,11,7,4,1,7,6,3,3,1,4,3,3,No,0,36-45,High (6-10K),6-10 yrs,3-High,1-Bad,1,Low Risk
37,26,Male,Divorced,3,Medical,Research & Development,Healthcare Representative,3,Travel_Rarely,Yes,2272,23,0,23,2,18,7,3,0,6,4,4,2,3,2,3,3,Yes,1,26-35,Low (<3K),6-10 yrs,4-Very High,3-Better,3,Medium Risk
38,36,Female,Married,4,Technical Degree,Sales,Sales Representative,2,Travel_Rarely,No,4805,20,0,1,4,8,4,1,1,4,2,1,2,2,1,4,3,No,0,36-45,Mid (3-6K),3-5 yrs,1-Low,2-Good,3,Medium Risk
39,45,Female,Divorced,5,Life Sciences,Research & Development,Laboratory Technician,5,Travel_Rarely,No,5339,20,0,14,5,12,12,6,0,1,0,3,3,4,4,4,3,No,0,36-45,Mid (3-6K),10+ yrs,3-High,4-Best,1,Low Risk
40,48,Female,Divorced,3,Life Sciences,Research & Development,Manufacturing Director,1,Travel_Rarely,No,3580,17,0,2,5,22,22,0,0,0,2,3,1,2,3,1,4,No,0,46-60,Mid (3-6K),10+ yrs,3-High,2-Good,2,Medium Risk
41,40,Male,Married,4,Life Sciences,Sales,Manager,5,Non-Travel,No,6263,20,1,3,2,10,10,3,0,2,2,2,3,3,4,2,3,No,0,36-45,High (6-10K),6-10 yrs,2-Medium,3-Better,1,Low Risk
42,33,Male,Married,3,Life Sciences,Research & Development,Laboratory Technician,2,Non-Travel,Yes,2191,23,2,6,1,6,6,1,0,0,6,3,4,2,4,3,3,No,0,26-35,Low (<3K),6-10 yrs,3-High,2-Good,2,Medium Risk
43,22,Female,Single,1,Life Sciences,Sales,Sales Representative,1,Travel_Frequently,Yes,4040,12,0,13,1,17,6,3,0,0,0,2,3,4,2,2,3,No,0,18-25,Mid (3-6K),6-10 yrs,2-Medium,4-Best,3,Medium Risk
44,30,Male,Divorced,3,Life Sciences,Human Resources,Manager,1,Travel_Frequently,No,3127,17,0,16,7,13,13,0,0,3,0,4,3,2,3,2,3,No,0,26-35,Mid (3-6K),10+ yrs,4-Very High,2-Good,3,Medium Risk
45,32,Male,Married,2,Medical,Sales,Sales Executive,2,Travel_Rarely,Yes,4047,24,3,7,1,14,5,5,1,3,6,3,2,4,2,3,3,No,0,26-35,Mid (3-6K),3-5 yrs,3-High,4-Best,1,Low Risk
46,30,Male,Married,3,Medical,Research & Development,Manufacturing Director,4,Non-Travel,No,11710,16,1,4,2,22,11,1,0,0,4,3,4,1,3,3,3,No,0,26-35,Very High (>10K),10+ yrs,3-High,1-Bad,1,Low Risk
47,37,Male,Single,3,Marketing,Research & Development,Manager,3,Travel_Rarely,No,11847,22,3,26,3,12,4,4,0,2,3,2,2,2,3,4,4,No,0,36-45,Very High (>10K),3-5 yrs,2-Medium,2-Good,3,Medium Risk
48,33,Female,Divorced,5,Life Sciences,Research & Development,Laboratory Technician,3,Travel_Rarely,No,10532,22,0,2,2,3,0,0,0,0,2,2,4,2,3,3,4,No,0,26-35,Very High (>10K),0-2 yrs,2-Medium,2-Good,4,High Risk
49,38,Female,Divorced,5,Medical,Research & Development,Laboratory Technician,1,Travel_Frequently,No,3724,14,0,14,2,9,3,1,1,1,5,4,4,4,2,3,3,Yes,1,36-45,Mid (3-6K),3-5 yrs,4-Very High,4-Best,1,Low Risk
50,47,Female,Married,1,Marketing,Sales,Sales Representative,1,Travel_Rarely,No,8472,14,0,8,2,14,4,1,1,4,5,3,4,4,4,2,3,Yes,1,46-60,High (6-10K),3-5 yrs,3-High,4-Best,1,Low Risk
51,33,Female,Married,1,Life Sciences,Human Resources,Manager,1,Travel_Rarely,No,5257,22,0,4,7,14,1,1,1,0,1,3,1,1,1,3,3,No,0,26-35,Mid (3-6K),0-2 yrs,3-High,1-Bad,3,Medium Risk
52,24,Female,Married,4,Technical Degree,Research & Development,Manager,1,Travel_Rarely,No,5051,16,1,1,0,11,0,0,0,0,3,3,2,1,1,3,3,No,0,18-25,Mid (3-6K),0-2 yrs,3-High,1-Bad,2,Medium Risk
53,30,Male,Single,3,Other,Human Resources,Human Resources,3,Travel_Rarely,No,4691,19,0,5,7,16,5,0,0,0,0,2,4,3,3,2,3,No,0,26-35,Mid (3-6K),3-5 yrs,2-Medium,3-Better,2,Medium Risk
54,42,Female,Single,4,Human Resources,Human Resources,Manager,4,Travel_Rarely,No,14115,20,1,2,3,18,0,0,0,0,5,2,4,2,3,3,3,No,0,36-45,Very High (>10K),0-2 yrs,2-Medium,2-Good,3,Medium Risk
55,43,Male,Married,2,Medical,Research & Development,Research Scientist,1,Travel_Rarely,Yes,11153,16,0,1,2,7,2,2,0,2,6,1,4,2,3,2,3,No,0,36-45,Very High (>10K),0-2 yrs,1-Low,2-Good,5,High Risk
56,40,Male,Single,4,Medical,Human Resources,Manager,3,Travel_Rarely,Yes,7684,16,1,1,4,22,9,0,0,1,2,1,3,1,2,3,3,No,0,36-45,High (6-10K),6-10 yrs,1-Low,1-Bad,3,Medium Risk
57,48,Male,Married,3,Marketing,Sales,Sales Executive,1,Travel_Rarely,No,4437,21,0,3,4,23,23,1,0,5,4,4,3,1,3,2,3,No,0,46-60,Mid (3-6K),10+ yrs,4-Very High,1-Bad,2,Medium Risk
58,35,Male,Married,2,Life Sciences,Sales,Sales Representative,1,Travel_Rarely,No,5032,11,0,8,2,8,8,4,3,2,6,2,1,2,1,2,3,No,0,26-35,Mid (3-6K),6-10 yrs,2-Medium,2-Good,3,Medium Risk
59,55,Male,Married,1,Technical Degree,Sales,Sales Executive,1,Travel_Rarely,No,6757,15,1,16,1,34,34,0,0,4,1,1,4,1,2,1,3,No,0,46-60,High (6-10K),10+ yrs,1-Low,1-Bad,3,Medium Risk
60,44,Male,Single,4,Medical,Research & Development,Healthcare Representative,1,Non-Travel,No,3594,25,0,1,5,9,8,0,0,8,3,4,4,3,3,4,3,No,0,36-45,Mid (3-6K),6-10 yrs,4-Very High,3-Better,1,Low Risk
61,18,Male,Married,3,Technical Degree,Research & Development,Healthcare Representative,1,Travel_Rarely,No,8629,11,0,4,3,19,2,2,2,2,2,1,1,4,2,2,4,No,0,18-25,High (6-10K),0-2 yrs,1-Low,4-Best,3,Medium Risk
62,53,Male,Married,5,Life Sciences,Sales,Manager,2,Travel_Frequently,No,2827,21,0,4,2,7,7,4,1,0,0,3,2,2,2,1,3,No,0,46-60,Low (<3K),6-10 yrs,3-High,2-Good,2,Medium Risk
63,30,Male,Married,3,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,No,6217,24,2,6,3,12,8,1,0,7,3,2,3,3,1,1,3,No,0,26-35,High (6-10K),6-10 yrs,2-Medium,3-Better,1,Low Risk
64,27,Male,Married,1,Medical,Research & Development,Laboratory Technician,2,Travel_Rarely,No,1244,19,1,14,5,3,3,0,0,2,6,1,3,1,2,3,3,No,0,26-35,Low (<3K),3-5 yrs,1-Low,1-Bad,2,Medium Risk
65,41,Male,Divorced,3,Medical,Sales,Manager,2,Travel_Rarely,No,3532,20,1,7,2,4,0,0,0,0,6,2,1,3,4,3,3,No,0,36-45,Mid (3-6K),0-2 yrs,2-Medium,3-Better,2,Medium Risk
66,21,Male,Single,1,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,No,17096,14,3,16,4,17,8,1,0,4,1,1,2,2,4,3,3,No,0,18-25,Very High (>10K),6-10 yrs,1-Low,2-Good,3,Medium Risk
67,30,Female,Divorced,3,Medical,Sales,Sales Executive,5,Travel_Rarely,No,9151,12,3,6,3,1,0,0,0,0,0,4,2,3,4,3,3,No,0,26-35,High (6-10K),0-2 yrs,4-Very High,3-Better,1,Low Risk
68,51,Female,Single,3,Life Sciences,Research & Development,Manager,3,Travel_Rarely,No,12348,19,1,8,4,18,6,4,2,0,1,3,2,2,1,4,3,No,0,46-60,Very High (>10K),6-10 yrs,3-High,2-Good,1,Low Risk
69,42,Female,Married,3,Medical,Sales,Manager,4,Travel_Rarely,No,3293,16,1,5,3,20,1,1,1,1,2,1,4,4,4,4,3,No,0,36-45,Mid (3-6K),0-2 yrs,1-Low,4-Best,2,Medium Risk
70,44,Female,Married,3,Medical,Human Resources,Human Resources,2,Travel_Rarely,Yes,5230,24,1,15,4,20,5,5,2,0,3,2,3,2,3,3,4,Yes,1,36-45,Mid (3-6K),3-5 yrs,2-Medium,2-Good,3,Medium Risk
71,31,Female,Married,2,Life Sciences,Research & Development,Manager,3,Travel_Rarely,No,10606,21,0,23,3,23,4,2,2,1,4,2,4,3,4,2,3,No,0,26-35,Very High (>10K),3-5 yrs,2-Medium,3-Better,3,Medium Risk
72,23,Male,Married,2,Medical,Sales,Manager,1,Non-Travel,No,7185,23,3,9,2,17,0,0,0,0,6,1,4,4,4,3,3,No,0,18-25,High (6-10K),0-2 yrs,1-Low,4-Best,2,Medium Risk
73,43,Male,Married,3,Life Sciences,Sales,Sales Executive,3,Travel_Rarely,No,6668,20,1,15,2,14,3,3,0,3,2,2,2,3,3,3,3,No,0,36-45,High (6-10K),3-5 yrs,2-Medium,3-Better,1,Low Risk
74,45,Male,Single,5,Medical,Research & Development,Healthcare Representative,1,Travel_Frequently,No,13073,13,0,1,1,15,6,3,0,0,5,3,4,3,1,4,3,No,0,36-45,Very High (>10K),6-10 yrs,3-High,3-Better,1,Low Risk
75,44,Male,Divorced,3,Life Sciences,Research & Development,Manufacturing Director,1,Travel_Frequently,No,2632,23,0,21,1,13,13,0,0,2,2,4,4,4,3,4,4,No,0,36-45,Low (<3K),10+ yrs,4-Very High,4-Best,2,Medium Risk
76,38,Female,Single,4,Technical Degree,Research & Development,Manufacturing Director,1,Travel_Rarely,No,4400,22,0,1,3,15,15,2,2,6,4,2,3,2,2,3,3,No,0,36-45,Mid (3-6K),10+ yrs,2-Medium,2-Good,3,Medium Risk
77,28,Female,Single,1,Life Sciences,Research & Development,Healthcare Representative,2,Travel_Frequently,No,1715,12,0,2,5,17,4,0,0,3,4,3,2,1,2,1,3,No,0,26-35,Low (<3K),3-5 yrs,3-High,1-Bad,2,Medium Risk
78,58,Female,Single,3,Life Sciences,Sales,Sales Executive,2,Non-Travel,No,2547,16,0,1,2,14,9,5,1,0,5,4,3,4,2,1,3,No,0,46-60,Low (<3K),6-10 yrs,4-Very High,4-Best,1,Low Risk
79,41,Male,Single,3,Medical,Research & Development,Manager,5,Travel_Rarely,No,9362,20,0,29,3,18,2,2,0,2,5,2,4,2,3,4,3,Yes,1,36-45,High (6-10K),0-2 yrs,2-Medium,2-Good,5,High Risk
80,35,Female,Married,4,Life Sciences,Sales,Sales Representative,1,Travel_Rarely,No,2834,16,0,17,5,9,2,2,1,2,0,4,1,4,1,3,4,No,0,26-35,Low (<3K),0-2 yrs,4-Very High,4-Best,3,Medium Risk
81,35,Female,Married,3,Life Sciences,Human Resources,Human Resources,4,Travel_Rarely,No,7641,24,1,21,1,10,1,1,1,1,1,4,2,2,4,3,3,No,0,26-35,High (6-10K),0-2 yrs,4-Very High,2-Good,3,Medium Risk
82,38,Male,Single,3,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,No,13294,22,0,16,3,12,5,5,1,5,2,2,4,3,2,3,3,No,0,36-45,Very High (>10K),3-5 yrs,2-Medium,3-Better,3,Medium Risk
83,46,Female,Single,4,Life Sciences,Research & Development,Manager,3,Travel_Rarely,No,4417,22,0,5,1,9,2,1,1,2,0,4,4,3,3,3,3,No,0,46-60,Mid (3-6K),0-2 yrs,4-Very High,3-Better,2,Medium Risk
84,38,Male,Married,3,Medical,Sales,Sales Executive,3,Non-Travel,No,6713,19,1,23,2,33,0,0,0,0,5,2,3,4,1,3,3,No,0,36-45,High (6-10K),0-2 yrs,2-Medium,4-Best,3,Medium Risk
85,44,Male,Married,1,Medical,Research & Development,Healthcare Representative,2,Travel_Frequently,No,7677,15,2,29,2,26,8,8,2,3,0,2,2,3,4,2,3,No,0,36-45,High (6-10K),6-10 yrs,2-Medium,3-Better,2,Medium Risk
86,38,Male,Divorced,3,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes,2361,21,0,6,1,11,8,5,1,1,2,4,2,1,3,3,3,No,0,36-45,Low (<3K),6-10 yrs,4-Very High,1-Bad,3,Medium Risk
87,35,Female,Divorced,2,Medical,Research & Development,Manager,3,Travel_Rarely,No,3395,25,0,1,3,9,3,3,3,0,1,2,3,3,2,1,3,Yes,1,26-35,Mid (3-6K),3-5 yrs,2-Medium,3-Better,2,Medium Risk
88,42,Male,Divorced,5,Other,Research & Development,Healthcare Representative,2,Non-Travel,No,2691,25,1,9,3,14,0,0,0,0,4,2,4,2,3,3,3,Yes,1,36-45,Low (<3K),0-2 yrs,2-Medium,2-Good,3,Medium Risk
89,42,Male,Divorced,3,Human Resources,Human Resources,Human Resources,2,Travel_Rarely,No,3561,22,0,29,3,7,3,3,1,3,2,1,1,4,1,3,3,No,0,36-45,Mid (3-6K),3-5 yrs,1-Low,4-Best,3,Medium Risk
90,35,Male,Married,3,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,Yes,7552,19,0,18,1,7,4,4,1,0,1,4,2,4,4,3,3,No,0,26-35,High (6-10K),3-5 yrs,4-Very High,4-Best,3,Medium Risk
91,30,Male,Single,5,Life Sciences,Sales,Sales Representative,2,Travel_Rarely,Yes,3438,23,0,17,4,11,7,1,1,1,4,4,4,3,3,4,4,Yes,1,26-35,Mid (3-6K),6-10 yrs,4-Very High,3-Better,3,Medium Risk
92,40,Male,Married,5,Medical,Research & Development,Laboratory Technician,2,Travel_Rarely,No,4812,15,1,24,3,8,2,2,1,1,6,3,2,4,1,3,3,No,0,36-45,Mid (3-6K),0-2 yrs,3-High,4-Best,2,Medium Risk
93,37,Male,Single,3,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,No,2629,12,1,20,4,12,8,2,1,0,6,4,4,2,3,3,3,No,0,36-45,Low (<3K),6-10 yrs,4-Very High,2-Good,2,Medium Risk
94,32,Male,Divorced,4,Life Sciences,Research & Development,Research Scientist,4,Travel_Rarely,Yes,10258,11,1,13,0,14,14,0,0,2,6,2,2,3,2,2,3,Yes,1,26-35,Very High (>10K),10+ yrs,2-Medium,3-Better,2,Medium Risk
95,29,Male,Married,1,Life Sciences,Research & Development,Manager,3,Travel_Rarely,Yes,3543,19,0,11,1,1,1,1,1,1,3,2,4,3,3,3,3,No,0,26-35,Mid (3-6K),0-2 yrs,2-Medium,3-Better,4,High Risk
96,40,Male,Married,4,Life Sciences,Research & Development,Healthcare Representative,1,Travel_Rarely,No,12256,20,1,2,5,27,27,0,0,0,2,3,4,3,3,4,3,No,0,36-45,Very High (>10K),10+ yrs,3-High,3-Better,0,Low Risk
97,41,Female,Single,3,Medical,Research & Development,Laboratory Technician,2,Travel_Rarely,No,5097,17,0,8,5,4,3,1,1,0,6,4,2,1,4,3,3,No,0,36-45,Mid (3-6K),3-5 yrs,4-Very High,1-Bad,2,Medium Risk
98,33,Female,Married,3,Medical,Research & Development,Research Scientist,2,Travel_Rarely,No,2112,13,0,6,4,13,2,2,2,2,5,2,4,4,4,3,3,No,0,26-35,Low (<3K),0-2 yrs,2-Medium,4-Best,3,Medium Risk
99,31,Male,Single,2,Life Sciences,Sales,Sales Representative,2,Travel_Frequently,No,4435,25,0,17,2,4,3,3,3,3,2,1,4,1,3,2,3,No,0,26-35,Mid (3-6K),3-5 yrs,1-Low,1-Bad,4,High Risk
100,29,Male,Single,5,Medical,Sales,Manager,3,Travel_Rarely,No,2597,22,1,6,3,29,0,0,0,0,5,4,4,3,3,4,3,No,0,26-35,Low (<3K),0-2 yrs,4-Very High,3-Better,1,Low Risk
101,40,Female,Married,1,Medical,Sales,Manager,3,Travel_Rarely,No,6999,16,0,1,2,18,0,0,0,0,1,4,3,1,4,3,4,No,0,36-45,High (6-10K),0-2 yrs,4-Very High,1-Bad,3,Medium Risk
102,29,Male,Single,3,Medical,Research & Development,Healthcare Representative,3,Travel_Rarely,Yes,4201,20,1,1,2,26,3,0,0,3,0,3,3,4,4,3,3,Yes,1,26-35,Mid (3-6K),3-5 yrs,3-High,4-Best,1,Low Risk
103,57,Female,Married,3,Other,Research & Development,Laboratory Technician,4,Travel_Rarely,No,5420,14,2,10,3,18,10,10,0,2,0,2,2,2,4,2,3,No,0,46-60,Mid (3-6K),6-10 yrs,2-Medium,2-Good,2,Medium Risk
104,33,Male,Married,3,Other,Research & Development,Manager,2,Non-Travel,No,3937,24,0,7,4,16,16,5,0,3,1,4,2,3,4,2,3,No,0,26-35,Mid (3-6K),10+ yrs,4-Very High,3-Better,1,Low Risk
105,18,Male,Divorced,4,Medical,Human Resources,Human Resources,3,Travel_Rarely,Yes,3522,19,0,3,2,7,7,1,1,0,2,4,3,2,4,3,3,No,0,18-25,Mid (3-6K),6-10 yrs,4-Very High,2-Good,3,Medium Risk
106,36,Female,Married,4,Technical Degree,Sales,Manager,3,Travel_Rarely,No,2740,25,0,1,2,6,0,0,0,0,2,3,2,3,2,3,3,No,0,36-45,Low (<3K),0-2 yrs,3-High,3-Better,2,Medium Risk
107,36,Female,Married,4,Life Sciences,Research & Development,Research Scientist,3,Travel_Frequently,No,8117,12,0,5,3,7,7,1,1,5,5,4,3,2,2,2,3,Yes,1,36-45,High (6-10K),6-10 yrs,4-Very High,2-Good,2,Medium Risk
108,47,Male,Divorced,2,Medical,Research & Development,Laboratory Technician,4,Travel_Rarely,No,4429,24,0,1,0,19,7,0,0,1,2,4,3,3,3,1,3,No,0,46-60,Mid (3-6K),6-10 yrs,4-Very High,3-Better,1,Low Risk
109,39,Male,Married,3,Medical,Sales,Sales Executive,3,Travel_Rarely,No,4069,21,3,3,2,11,11,3,0,0,3,4,4,2,4,3,3,No,0,36-45,Mid (3-6K),10+ yrs,4-Very High,2-Good,1,Low Risk
110,29,Female,Married,3,Medical,Sales,Sales Representative,1,Travel_Rarely,No,4363,22,0,4,1,12,12,1,1,3,5,4,4,4,1,3,4,No,0,26-35,Mid (3-6K),10+ yrs,4-Very High,4-Best,1,Low Risk
